longitude,latitude
2.65,39.57
-3.7,40.45
-4.95,36.49
-3.64,40.5
-3.69,40.44
-3.69,40.46
-3.69,40.43
-3.72,40.43
-3.68,40.42
-3.92,40.28
-3.71,40.42
-3.74,40.34
-3.69,40.42
-3.71,40.43
-3.7,40.42
-3.7,40.45
-3.7,40.43
-3.69,40.41
-3.58,40.47
-3.68,40.44
-3.7,40.42
-3.7,40.42
-3.7,40.47
-3.66,40.45
-3.66,40.44
-3.82,40.47
-3.69,40.58
-3.7,40.42
-3.84,40.48
-3.68,40.43
-3.71,40.42
-3.71,40.42
-3.71,40.42
-3.62,40.32
-3.7,40.42
-3.6,40.37
-3.53,40.34
-3.58,40.47
-3.68,40.44
-3.58,40.47
-3.7,40.43
-3.7,40.45
-3.69,40.46
-3.68,40.44
-3.64,40.46
-3.72,40.43
-3.71,40.42
-3.74,40.37
-3.79,40.44
-3.82,40.4
-3.91,40.46
-3.61,40.54
-3.93,40.58
-1.13,37.99
-1.98,43.32
-0.89,41.61
-0.56,38.29
78.45,17.42
78.39,17.48
78.39,17.43
78.42,17.42
78.38,17.45
78.38,17.45
77.13,28.67
77.12,28.57
77.07,28.46
77.17,28.57
77.12,28.56
77.11,28.64
77.16,28.54
77.22,28.53
77.25,28.55
77.22,28.63
77.22,28.63
77.16,28.54
77.15,28.69
77.24,28.55
77.1,28.56
77.1,28.56
77.19,28.55
77.24,28.53
77.08,28.48
77.06,28.47
77.09,28.48
77.09,28.5
77.1,28.5
77.05,28.41
77.56,13.01
77.59,12.91
77.7,13
77.61,12.94
77.64,12.97
77.57,12.99
77.58,13.01
77.73,12.99
77.66,12.99
77.61,12.97
72.82,19.01
72.83,19.18
72.83,19.08
72.82,18.93
72.82,19.13
72.83,18.93
72.83,19.05
72.83,19.14
72.92,19.1
72.97,19.21
72.84,19.01
72.87,19.1
72.85,19.06
72.97,19.2
72.92,19.09
72.82,19
72.83,19
72.83,19.07
72.83,19.11
72.88,19.1
72.87,19.07
72.83,18.92
72.89,19.09
72.84,19.17
72.86,19.06
72.91,19.12
72.85,19.16
72.86,19.17
72.86,19.09
72.83,19.1
72.84,19.21
72.81,18.96
73,19.07
77.2,28.68
73.92,18.56
73.82,18.5
73.81,18.56
73.93,18.52
73.89,18.54
73.95,18.55
73.94,18.52
73.84,18.52
80.25,13.06
80.26,13.06
80.21,13.09
80.22,12.99
80.25,13.03
77.33,28.57
